,Fecha,TERMICA,Volume in Energy,ONI Anomaly,AporEnergia,PorcVoluUtilDiario
0,2013-01-31,1601.37244598,315857.6637458,-0.66,1757.6882,0.6692754838709678
1,2013-02-28,1568.14138372,239313.3305053,-0.56,2284.6319,0.5632453571428572
2,2013-03-31,1340.26875789,226863.47064010001,-0.12,3018.6972,0.4823790322580645
3,2013-04-30,1637.24416911,180544.86322220002,-0.36,3088.5187,0.39673400000000003
4,2013-05-31,1322.04868224,202928.6186622,-0.82,6701.3757,0.4315361290322581
5,2013-06-30,1265.87363761,230693.9789131,-0.89,4606.233,0.5069323333333333
6,2013-07-31,1702.66631997,251811.7145226,-0.7,4558.2715,0.5374277419354839
7,2013-08-31,1411.11434613,280904.091763,-0.65,5566.9238,0.5997448387096774
8,2013-09-30,1169.00408709,288570.0797926,-0.33,4339.1999,0.636526
9,2013-10-31,1453.07794725,299267.8362194,-0.19,4209.6051,0.6386106451612903
10,2013-11-30,1547.46254998,302704.7374618,-0.2,5081.5444,0.667504
11,2013-12-31,1405.91384645,330755.9706896,-0.13,4406.4636,0.7060622580645162
12,2014-01-31,1574.99752466,309940.4927981,-0.43,2649.7279,0.6617083870967742
13,2014-02-28,1536.84278732,237721.8857453,-0.79,2523.5891,0.5619025000000001
14,2014-03-31,1358.77940856,242581.6790933,-0.32,3293.356,0.5181616129032257
15,2014-04-30,1746.26036111,200232.2503627,0.06,3378.8258,0.44208733333333333
16,2014-05-31,1947.15932252,223069.5972382,0.38,4511.7365,0.47662225806451614
17,2014-06-30,1847.81581209,260789.9668643,0.53,6343.0070000000005,0.5744163333333333
18,2014-07-31,1574.44907715,332370.8152735,0.31,5818.2386,0.7088819354838709
19,2014-08-31,1519.08998384,351010.7994,0.18,4572.2072,0.7493422580645162
20,2014-09-30,1435.16741511,338488.3749,0.37,4096.7661,0.7469573333333333
21,2014-10-31,1611.6410552,353482.6703,0.58,4817.4938999999995,0.7548825806451613
22,2014-11-30,1369.97519274,359796.4715569,0.77,4648.4148000000005,0.7939793333333333
23,2014-12-31,1521.46361224,388540.4508179,0.68,3718.2906,0.778888064516129
24,2015-01-31,1683.84261616,349488.1620445,0.35,2288.2195,0.7006016129032259
25,2015-02-28,1251.96000566,277178.9698667,0.05,2590.7882,0.6151803571428571
26,2015-03-31,1584.20434805,246975.5794297,0.1,2736.3253,0.4954135483870968
27,2015-04-30,1215.31566381,220097.1156267,0.63,4524.9192,0.4565103333333333
28,2015-05-31,1674.93756727,213366.9951144,0.94,4559.1129,0.4282222580645161
29,2015-06-30,1505.69507935,252037.2139578,1.45,6987.6005,0.5223873333333333
30,2015-07-31,1517.65795292,314869.7276032,1.85,6179.2964,0.6313432258064515
31,2015-08-31,1407.50521705,342344.4528884,2.09,5497.6467,0.6864209677419355
32,2015-09-30,1926.22506173,327537.68355809996,2.5,3413.9994,0.678658
33,2015-10-31,2547.96890399,317836.4995,2.62,3063.3611,0.6348377419354839
34,2015-11-30,2366.47743164,337569.8626,2.84,3841.3198,0.651876
35,2015-12-31,2590.21714909,346006.0221,2.84,2334.6328,0.6463312903225807
36,2016-01-31,2722.1635134,307282.9741,2.59,1595.897,0.5739935483870968
37,2016-02-29,2566.62513583,236776.1102,1.97,1565.7086,0.4729555172413793
38,2016-03-31,2848.56622104,217948.2589,1.53,1961.1023,0.4070664516129032
39,2016-04-30,1946.83245956,207936.70679999999,0.62,4050.8043,0.4010123333333333
40,2016-05-31,1141.20545394,224797.4384,-0.03,5447.7069,0.4196648387096774
41,2016-06-30,1206.07708683,234732.9841,-0.14,5052.7748,0.4533203333333333
42,2016-07-31,998.37315866,286095.8084,-0.61,6372.5807,0.5353929032258065
43,2016-08-31,1128.78913062,299554.4795,-0.53,4938.5326000000005,0.5605790322580645
44,2016-09-30,984.79154653,309439.2404,-0.26,5761.0633,0.5983786666666667
45,2016-10-31,1217.10300349,337195.5414,-0.56,5246.3206,0.6310196774193548
46,2016-11-30,942.92481431,356349.9457,-0.62,6101.7658,0.6890926666666667
47,2016-12-31,789.30019781,396195.496,-0.47,5024.2163,0.7485374193548388
48,2017-01-31,668.07312909,375831.5302,-0.08,3960.0606,0.7121403225806452
49,2017-02-28,925.72707123,294751.4374,0.42,2273.8355,0.6131585714285714
50,2017-03-31,875.02669295,292313.0749,0.35,5719.2606,0.54798
51,2017-04-30,662.03542267,303948.5346,0.45,4980.9363,0.5891913333333334
52,2017-05-31,587.2291890500001,355769.726,0.29,8865.9268,0.6673903225806451
53,2017-06-30,545.99463884,388015.6058,0.06,7239.09,0.752138
54,2017-07-31,526.15503728,421427.6687,0.04,6211.9361,0.7905522580645161
55,2017-08-31,655.79530533,412870.503,-0.25,4799.1561,0.7750358064516129
56,2017-09-30,791.11414931,385728.0602,-0.72,4893.7128,0.7484059999999999
57,2017-10-31,871.75154405,385877.749,-0.72,4588.7399,0.7245451612903225
58,2017-11-30,822.3131738,369706.4214,-1.08,5603.9523,0.7173200000000001
59,2017-12-31,750.71611238,366743.183,-1.22,3864.381,0.6886164516129033
60,2018-01-31,920.46824147,337822.5673,-1.18,3696.7332,0.6343138709677419
61,2018-02-28,1357.91055503,261089.0892,-0.9,2306.2289,0.54276
62,2018-03-31,1347.81547443,230785.3919,-0.93,2970.1065,0.4329622580645161
63,2018-04-30,744.87350825,225693.1562,-0.62,6895.7434,0.43722133333333335
64,2018-05-31,826.65035667,309492.876,-0.33,10064.9551,0.5801106451612903
65,2018-06-30,790.60020594,383819.8533,0.01,8207.9296,0.7434096666666666
66,2018-07-31,765.36743386,426911.9924,0.11,7091.8150000000005,0.8004583870967742
67,2018-08-31,878.81630322,426779.2251,-0.06,5692.6639000000005,0.8092316129032258
68,2018-09-30,931.63820811,405348.8989,0.35,4711.2958,0.79586
69,2018-10-31,916.0187108499999,422009.043,0.75,5816.1036,0.8018435483870968
70,2018-11-30,774.3945074,416645.5523,0.9,5419.1897,0.8187273333333334
71,2018-12-31,1255.88574618,403898.0587,0.92,2956.1946,0.7685045161290323
72,2019-01-31,1631.91816182,345608.9433,0.6,2177.1634,0.6575977419354838
73,2019-02-28,1535.09840526,257453.88,0.59,2085.0137,0.5423482142857143
74,2019-03-31,1460.24525403,240656.532,0.64,3153.1807,0.45791096774193546
75,2019-04-30,1021.29974354,227541.588,0.55,5503.1129,0.4473856666666666
76,2019-05-31,958.69967667,262929.6899,0.5,7024.8321,0.5002883870967743
77,2019-06-30,672.92084768,329478.2263,0.2,7695.2257,0.6478093333333333
78,2019-07-31,736.41259245,383046.3157,-0.1,6525.7879,0.7285906451612904
79,2019-08-31,913.2779497500001,388808.2845,-0.32,4633.6788,0.741341935483871
80,2019-09-30,1229.80086187,344266.4627,-0.27,3761.6247,0.6786016666666667
81,2019-10-31,1493.72598844,353948.4314,0.16,5174.6312,0.6754922580645161
82,2019-11-30,1351.70472281,356657.9892,0.33,4519.2026,0.7034283333333333
83,2019-12-31,1761.8611527,352659.7062,0.24,3404.1621,0.6731067741935484
84,2020-01-31,1870.31608128,315630.2519,0.22,2167.6423,0.6024322580645162
85,2020-02-29,2227.96816167,234871.5952,0.1,1852.1553,0.47915
86,2020-03-31,2055.04334473,202512.5735,0.2,2362.5304,0.38639
87,2020-04-30,1465.21944791,170710.1355,0.27,3056.8634,0.3350086666666667
88,2020-05-31,1961.91281179,173190.0525,-0.33,4147.033,0.32882
89,2020-06-30,1819.6080117,208811.9971,-0.69,5456.4364000000005,0.41006966666666667
90,2020-07-31,953.63642853,295886.5587,-0.59,7017.3494,0.5624696774193548
91,2020-08-31,1062.90486277,331720.7736,-0.61,4728.5496,0.6305900000000001
92,2020-09-30,1306.9601561499999,341710.0454,-0.99,4754.6332,0.6712290000000001
93,2020-10-31,1380.75386201,359596.1884,-1.1,4372.3014,0.684374193548387
94,2020-11-30,1172.41261438,371845.1565,-1.21,6891.9896,0.731403
95,2020-12-31,1225.89964254,389669.8878,-0.82,4001.7102,0.7425306451612904
96,2021-01-31,1242.28953364,358533.1573,-0.62,3061.8371,0.6833806451612903
97,2021-02-28,1549.81866766,270823.9704,-0.73,2508.9129,0.5715107142857143
98,2021-03-31,1117.7759113,288538.8928,-0.69,5807.5202,0.549968064516129
99,2021-04-30,949.26601773,306237.426,-0.79,5587.7254,0.60316
100,2021-05-31,795.0652672,389237.2481,-0.56,9218.9281,0.7419035483870967
101,2021-06-30,810.33154517,422226.582,-0.32,9405.0461,0.8335073333333334
102,2021-07-31,916.45204996,443002.953,-0.32,7274.6206,0.8475377419354838
103,2021-08-31,890.855055,448585.9395,-0.45,6861.9505,0.8590267741935483
104,2021-09-30,863.34277453,431476.5155,-0.43,5821.0133000000005,0.8539323333333333
105,2021-10-31,920.2602718,439050.86,-0.78,6307.2924,0.8408929032258065
106,2021-11-30,853.25526144,426225.1157,-1.03,6159.3457,0.8435330000000001
107,2021-12-31,1359.08346705,424434.7912,-1.27,3744.3423,0.81324
108,2022-01-31,1360.99888039,385813.3764,-1.31,2760.0651,0.739245806451613
109,2022-02-28,1390.30454751,294818.3954,-1.14,2936.1618,0.6225089285714286
110,2022-03-31,965.06772198,308822.8093,-0.73,5086.3457,0.5873364516129032
111,2022-04-30,857.34384875,304139.798,-0.92,6670.7639,0.5977116666666666
112,2022-05-31,885.0347302,361010.0611,-1.05,7201.5397,0.6773641935483872
113,2022-06-30,837.99309882,395912.7352,-0.81,8472.0996,0.763101
114,2022-07-31,927.23667265,450051.6917,-0.53,7968.9855,0.8385732258064517
115,2022-08-31,816.81301395,466574.7774,-0.67,7012.5477,0.8669364516129032
116,2022-09-30,819.07331806,442737.9366,-0.96,6121.2216,0.8495663333333333
117,2022-10-31,686.41728434,459437.5708,-1.11,9575.009,0.83231
118,2022-11-30,691.9455983299999,462378.18439999997,-0.94,10682.2342,0.8648923333333334
119,2022-12-31,992.15394762,468144.8219,-0.82,6344.7492,0.8300151612903226
120,2023-01-31,939.79101751,432786.0237,-0.56,5964.983,0.7673245161290323
121,2023-02-28,1214.44846972,332824.3864,-0.1,3378.135,0.6533185714285714
122,2023-03-31,856.01076528,338639.5171,0.3,7887.632,0.5995487096774192
123,2023-04-30,670.9032173,325727.9524,0.47,7406.8605,0.5958153333333333
124,2023-05-31,1460.30466761,341637.8474,0.84,6808.4274000000005,0.6044674193548387
125,2023-06-30,1265.42290968,380403.9928,1.26,7063.7422,0.6990540000000001
126,2023-07-31,1530.2251557499999,436776.0002,1.6,7256.208,0.776978064516129
127,2023-08-31,1590.72862018,461127.68090000004,2.0,5710.0329,0.8182619354838709
128,2023-09-30,2416.24232459,413786.0928,2.1,3559.3257,0.7741733333333334
129,2023-10-31,2626.32667654,394433.1828,2.15,4634.2359,0.7244674193548387
130,2023-11-30,1633.79206769,391898.78,2.1,6149.4637999999995,0.7528063333333334
131,2023-12-31,2453.74369311,387146.8494,2.02,3644.9854,0.7194351612903226
132,2024-01-31,2075.58812921,342584.0649,1.85,2323.2661,0.6366235483870968
133,2024-02-29,2095.9675361,252610.5274,1.52,2325.714,0.5017865517241379
134,2024-03-31,2847.23263345,197986.7649,0.83,2178.5854,0.3679051612903226
135,2024-04-30,3190.09459968,159696.1704,0.5,3988.9696,0.3066433333333334
136,2024-05-31,1115.83750104,204915.4209,-0.19,8732.2338,0.3807796774193548
137,2024-06-30,1092.75809192,268017.5722,-0.27,9868.2263,0.5146396666666667
138,2024-07-31,1133.80442598,319213.7816,-0.14,7271.7952000000005,0.5931732258064517
139,2024-08-31,1609.97628418,308460.0627,-0.29,4518.1911,0.5732287096774193
140,2024-09-30,2266.7532405,268640.8162,-0.2,3701.5672999999997,0.5158686666666666
141,2024-10-31,2827.77463135,285567.9991,-0.16,4793.2528,0.5306796774193548
142,2024-11-30,1904.16519498,322718.3911,-0.16,7397.2289,0.6263850000000001
143,2024-12-31,2344.33938469,353350.4603,-0.39,4548.1427,0.6639174193548387
144,2025-01-31,1544.11304,349908.3897,-0.29,4079.0868,0.6574496774193548
145,2025-02-28,1145.7576,273337.141,0.02,4677.9517,0.5681992857142857
146,2025-03-31,826.4529,274870.7283,0.45,6345.8715,0.5159025806451613
147,2025-04-30,760.48381,276569.1365,0.05,9712.350699999999,0.5364186666666666
148,2025-05-31,717.301294,359634.6004,-0.14,12541.1644,0.6752019354838709
